Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,3.876,1.606,9.02988,4.4496,14.7541,0.001
1,0.515,0.436,2.9432,19.6721,73.3021,0.001
2,0.498,0.424,2.23467,22.4824,81.4988,0.001
3,0.508,0.434,1.91541,26.6979,86.1827,0.001
4,0.505,0.43,1.75011,31.3817,90.6323,0.001
5,0.501,0.427,1.64105,35.5972,91.3349,0.001
6,0.498,0.424,1.56244,41.9204,92.9742,0.001
7,0.507,0.433,1.53233,44.0281,93.2084,0.001
8,0.497,0.423,1.45236,45.1991,96.2529,0.001
9,0.499,0.425,1.37561,47.7752,95.082,0.001
10,0.5,0.426,1.3325,49.8829,95.5504,0.001
11,0.503,0.429,1.31648,49.6487,96.4871,0.001
12,0.503,0.429,1.27986,51.7564,96.9555,0.001
13,0.498,0.425,1.1605,55.5035,98.1265,0.001
14,0.501,0.427,1.20786,55.5035,95.5504,0.001
15,0.501,0.428,1.16368,54.5667,97.6581,0.001
16,0.508,0.434,1.08466,61.5925,97.6581,0.001
17,0.532,0.454,1.13568,56.4403,97.1897,0.001
18,0.618,0.538,1.05264,61.5925,98.1265,0.001
19,0.764,0.682,1.0019,63.9344,98.3607,0.001
20,0.645,0.563,0.96653,64.637,98.5948,0.001
21,0.515,0.44,0.99105,63.7002,98.5948,0.001
22,0.529,0.456,0.90762,66.7447,99.0632,0.001
23,0.538,0.464,0.96217,64.8712,98.3607,0.001
24,0.712,0.631,0.90435,68.3841,99.0632,0.001
25,0.562,0.487,0.90833,66.9789,99.5316,0.001
26,0.585,0.507,0.83469,69.0867,99.5316,0.001
27,0.658,0.578,0.86835,65.1054,99.2974,0.001
28,0.667,0.591,0.83791,67.9157,99.2974,0.001
29,0.652,0.573,0.8114,67.2131,99.2974,0.001
30,0.609,0.53,0.75163,73.3021,99.7658,0.001
31,0.599,0.52,0.81441,69.3208,99.2974,0.001
32,0.59,0.509,0.75005,72.3653,99.2974,0.001
33,0.588,0.509,0.69175,74.0047,98.829,0.001
34,0.59,0.509,0.65399,75.644,99.0632,0.001
35,0.586,0.507,0.69177,74.0047,98.829,0.001
36,0.555,0.481,0.65799,78.2201,99.0632,0.001
37,0.529,0.455,0.62384,77.0492,99.7658,0.001
38,0.613,0.536,0.64119,74.7073,99.2974,0.001
39,0.93,0.834,0.63646,78.2201,99.7658,0.001
40,0.597,0.516,0.63005,77.5176,99.5316,0.001
41,0.607,0.528,0.53993,79.6253,99.5316,0.001
42,0.597,0.519,0.54787,80.7963,99.7658,0.001
43,0.594,0.515,0.58386,79.1569,99.5316,0.001
44,0.595,0.515,0.5304,79.1569,99.7658,0.001
45,0.593,0.514,0.56854,78.9227,99.5316,0.001
46,0.6,0.521,0.50655,83.1382,99.7658,0.001
47,0.584,0.507,0.51432,80.7963,99.7658,0.001
48,0.595,0.517,0.47932,81.733,100.0,0.001
49,0.585,0.506,0.48845,81.9672,99.5316,0.001
50,0.586,0.508,0.4678,81.4988,100.0,0.001
51,0.586,0.506,0.41865,84.7775,100.0,0.001
52,0.575,0.497,0.58893,79.1569,99.2974,0.001
53,0.583,0.507,0.4891,83.8407,99.7658,0.001
54,0.582,0.502,0.49643,82.904,99.0632,0.001
55,0.577,0.498,0.45836,83.6066,100.0,0.001
56,0.58,0.502,0.44058,85.0117,100.0,0.001
57,0.587,0.509,0.39697,87.1194,99.2974,0.001
58,0.587,0.507,0.43442,84.3091,99.7658,0.001
59,0.588,0.511,0.42024,84.3091,100.0,0.001
60,0.585,0.505,0.3772,87.3536,100.0,0.001
61,0.596,0.516,0.38212,86.4169,99.5316,0.001
62,0.58,0.502,0.40369,86.1827,99.7658,0.001
63,0.585,0.507,0.29795,88.7588,100.0,0.001
