Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,1.463,0.559,9.15924,5.1522,12.4122,0.001
1,0.589,0.505,2.84339,20.6089,74.9415,0.001
2,0.582,0.504,2.05058,24.8244,80.7963,0.001
3,0.748,0.663,1.81699,27.8689,89.2272,0.001
4,0.632,0.553,1.69352,33.4895,90.6323,0.001
5,0.608,0.528,1.67423,35.363,91.8033,0.001
6,0.569,0.49,1.51578,39.8126,93.4426,0.001
7,0.636,0.556,1.49621,42.1546,94.3794,0.001
8,0.593,0.515,1.41731,46.8384,95.082,0.001
9,0.63,0.547,1.34336,46.37,95.5504,0.001
10,0.574,0.495,1.34605,46.8384,95.7845,0.001
11,0.602,0.521,1.26232,50.3513,97.1897,0.001
12,0.582,0.503,1.20876,52.9274,97.8923,0.001
13,0.585,0.505,1.20975,52.9274,97.8923,0.001
14,0.526,0.453,1.12166,57.8454,97.8923,0.001
15,0.511,0.437,1.14676,57.6112,97.1897,0.001
16,0.503,0.429,1.0581,61.1241,97.8923,0.001
17,0.501,0.427,1.09256,56.2061,98.5948,0.001
18,0.498,0.424,1.0823,60.6557,97.8923,0.001
19,0.51,0.436,0.97263,64.1686,98.829,0.001
20,0.501,0.427,1.00293,62.2951,98.5948,0.001
21,0.498,0.424,0.95819,62.7635,99.5316,0.001
22,0.5,0.427,0.92665,64.8712,98.829,0.001
23,0.499,0.425,0.92218,66.2763,98.3607,0.001
24,0.498,0.424,0.85706,68.6183,99.2974,0.001
25,0.501,0.428,0.87842,66.2763,99.7658,0.001
26,0.5,0.427,0.88062,70.9602,99.0632,0.001
27,0.502,0.429,0.85201,69.555,99.2974,0.001
28,0.499,0.426,0.79532,70.2576,99.2974,0.001
29,0.497,0.423,0.81744,70.0234,98.3607,0.001
30,0.501,0.428,0.7906,70.9602,98.5948,0.001
31,0.5,0.426,0.73055,73.3021,99.5316,0.001
32,0.505,0.431,0.69838,74.9415,99.7658,0.001
33,0.5,0.427,0.66363,75.1756,99.5316,0.001
34,0.499,0.426,0.72281,71.897,99.7658,0.001
35,0.501,0.427,0.77138,72.8337,99.0632,0.001
36,0.498,0.424,0.66144,76.815,99.2974,0.001
37,0.498,0.424,0.67633,77.0492,99.5316,0.001
